SMILES,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,AromaticRings
N#CC(C#N)=C1C=CNc2ccc(N3c4ccccc4Oc4ccccc43)cc21,1.8173,2.7442,3.2843,3.3796,3.4933,3.7856,3.7951,4.0599,4.0635,4.2014,4.2616,4.3167,4.5526,4.5643,4.7046,1.8013,1.9493,2.7276,2.869,3.1366,3.273,3.4319,3.4477,3.5277,3.6824,3.6948,3.9776,4.0693,4.1181,4.2184,3
N#CC(C#N)=C1C=CNc2ccc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)cc21,1.9233,2.5497,3.2556,3.309,3.3849,3.551,3.6514,3.7405,3.9773,4.0257,4.0836,4.1212,4.1618,4.1784,4.2914,1.9224,1.9625,2.5414,2.81,2.925,3.1933,3.2908,3.3844,3.4963,3.525,3.5696,3.6542,3.7008,3.8436,4.0224,4
N#CC(C#N)=C1C=CNc2ccc(-c3ccc(N4c5ccccc5Oc5ccccc54)s3)cc21,2.1775,2.6313,3.0961,3.4704,3.5374,3.7446,3.7695,3.8132,4.045,4.1551,4.17,4.189,4.2456,4.2846,4.305,1.9443,2.1737,2.5291,2.6218,2.944,2.9826,3.3238,3.5347,3.5624,3.6326,3.6795,3.7013,3.795,3.9061,3.9855,4
N#CC(C#N)=C1C=CNc2ccc(-c3ccc(N4c5ccccc5Oc5ccccc54)o3)cc21,2.3165,2.9286,3.0459,3.5038,3.6326,3.7614,3.8768,4.0583,4.2196,4.2808,4.2971,4.3638,4.3676,4.3727,4.5531,1.9389,2.3146,2.5674,2.9099,2.9368,3.0023,3.4569,3.618,3.6318,3.6814,3.7041,3.7076,4.01,4.0553,4.2611,4
CC1(C)c2ccccc2N(c2ccc3c(c2)C(=C(C#N)C#N)C=CN3)c2ccccc21,2.0844,3.0312,3.3783,3.6037,3.7264,3.7955,3.817,3.9008,4.2587,4.3648,4.523,4.6012,4.6335,4.7047,4.7365,1.952,2.0674,3.0144,3.1405,3.2507,3.4054,3.5947,3.6322,3.6661,3.7195,3.8061,3.8901,4.029,4.0644,4.301,3
CC1(C)c2ccccc2N(c2ccc(-c3ccc4c(c3)C(=C(C#N)C#N)C=CN4)cc2)c2ccccc21,2.1971,2.8385,3.2521,3.6125,3.6615,3.6999,3.8216,3.843,3.9367,3.9765,4.2161,4.3193,4.3375,4.4075,4.4133,1.9634,2.1964,2.8315,2.9228,3.1825,3.21,3.5481,3.5579,3.5951,3.6997,3.7457,3.8182,3.8203,3.8304,3.9546,4
CC1(C)c2ccccc2N(c2ccc(-c3ccc4c(c3)C(=C(C#N)C#N)C=CN4)s2)c2ccccc21,2.4378,2.9035,3.0795,3.4707,3.7313,3.8198,3.9274,4.0557,4.0611,4.1783,4.3219,4.3562,4.3706,4.3886,4.4719,1.944,2.433,2.5212,2.8902,2.9643,3.3187,3.3234,3.6634,3.693,3.7644,3.8191,3.857,3.9619,3.9663,3.9827,4
CC1(C)c2ccccc2N(c2ccc(-c3ccc4c(c3)C(=C(C#N)C#N)C=CN4)o2)c2ccccc21,2.5715,3.0214,3.1958,3.4999,3.7566,3.9114,4.0335,4.207,4.212,4.3145,4.3549,4.4522,4.5584,4.5958,4.6181,1.9382,2.5529,2.5732,2.9117,3.1838,3.3464,3.4558,3.6796,3.6956,3.7957,3.911,3.9956,4.0053,4.0339,4.2034,4
CN1c2ccccc2N(c2ccc3c(c2)C(=C(C#N)C#N)C=CN3)c2ccccc21,1.5692,2.5134,3.0884,3.2937,3.3921,3.5549,3.8061,3.8978,3.9652,3.9778,4.0777,4.2026,4.2825,4.5449,4.7265,1.5583,1.9578,2.4876,2.8066,3.0777,3.1411,3.2456,3.4004,3.4208,3.4311,3.554,3.8996,3.9642,4.0279,4.0842,3
CN1c2ccccc2N(c2ccc(-c3ccc4c(c3)C(=C(C#N)C#N)C=CN4)cc2)c2ccccc21,1.6473,2.3232,3.0908,3.159,3.2528,3.3241,3.5482,3.6663,3.7783,3.8782,3.9407,3.9567,3.9991,4.0042,4.1953,1.6467,1.9635,2.317,2.7383,2.9263,3.0986,3.158,3.182,3.3035,3.3931,3.4346,3.5559,3.5638,3.7811,3.8309,4
CN1c2ccccc2N(c2ccc(-c3ccc4c(c3)C(=C(C#N)C#N)C=CN4)s2)c2ccccc21,1.8357,2.3367,3.0758,3.3078,3.4694,3.4716,3.546,3.7321,3.8105,3.8958,4.0163,4.0387,4.1003,4.1137,4.1899,1.8308,1.9459,2.3234,2.52,2.8269,2.9585,3.305,3.3196,3.368,3.4179,3.4714,3.5488,3.6921,3.8019,3.865,4
